n,looped
2440,1444305
8809,19523413
3656,3293184
4256,4521121
6237,9772324
1424,508554
9030,20355185
4230,4482517
1139,323103
5357,7247223
4854,5857534
2709,1829541
5454,7536874
7709,14789470
8751,19261173
2792,2006032
143,5032
1146,327086
6410,10370045
2326,1344431
276,19393
1382,467156
8601,18489086
5763,8335941
2891,2084430
935,207335
6292,9756155
4967,6154150
7630,14498082
5482,7548930
7044,12293434
8514,18050327
9609,23002689
4325,4662282
1579,617949
6350,9984280
5998,8846801
7742,14969205
5072,6353411
1360,473748
3358,2812079
3559,3188568
3080,2397458
4405,4817202
2542,1628052
8437,17793061
2292,1305411
1746,756811
4068,4168886
1643,666283
5641,8109870
6975,12260620
1926,929826
2738,1852630
1400,492390
9954,25005758
2784,2003343
8359,17466556
4584,5293372
254,14693
8677,18944052
1838,833352
8154,16492145
8418,17600933
8503,18176237
3789,3599285
3407,2909374
8538,18323576
3736,3493988
7266,12975824
5751,8167170
6021,9012583
685,123634
8616,18690364
6065,9302110
8142,16722176
310,23294
8094,16276462
1832,824710
1699,722712
307,23233
4045,4145574
3271,2687605
6675,11063844
1675,707326
2392,1446169
8072,16479092
260,16973
7793,15154375
7625,14702235
4194,4353665
7256,13228142
6015,9037620
8541,18316079
7725,14884419
2934,2140162
4151,4294893
5279,6978850
6280,9853137
2655,1774631
