n,looped
44,44
20,20
19,19
65,65
80,80
50,50
45,45
100,3
100,41
33,33
64,64
49,49
65,65
97,25
24,24
94,34
100,70
1,1
18,18
43,43
74,4
97,97
16,16
71,1
20,17
87,87
42,21
89,89
73,19
70,70
29,29
39,39
15,15
65,52
68,68
19,19
7,7
72,72
56,56
81,81
70,70
83,83
99,9
15,15
18,18
28,6
34,34
79,31
11,11
17,17
56,56
6,6
91,91
27,27
1,1
27,27
75,75
67,67
11,7
91,2
32,32
96,96
66,66
24,24
43,43
97,97
10,10
37,37
34,34
38,38
51,51
80,80
22,22
12,12
57,10
85,85
48,48
60,60
74,51
64,64
92,6
37,37
72,2
13,1
79,40
17,17
39,27
21,21
37,37
8,8
19,19
6,6
92,83
47,47
58,11
66,66
89,89
10,10
99,53
97,5
