n,Looped
7027,12443049.000000
8627,18572958.000000
2716,1813027.000000
9929,24653167.000000
3840,3625126.000000
9388,22161821.000000
3628,3298380.000000
4038,4154957.000000
6295,9850918.000000
2321,1299787.000000
2995,2178483.000000
1482,564466.000000
1005,254597.000000
9973,24705703.000000
7118,12644161.000000
9104,20774745.000000
7053,12369150.000000
3606,3255550.000000
5601,7926623.000000
2575,1668781.000000
8164,16679328.000000
2355,1372376.000000
8650,18850412.000000
2135,1134906.000000
254,16745.000000
1618,662505.000000
8882,19536604.000000
9552,22834135.000000
3769,3533590.000000
7669,14719855.000000
6614,10779043.000000
4416,4910407.000000
9277,21525357.000000
1924,908857.000000
1332,444467.000000
2960,2214495.000000
6957,12188045.000000
7813,15310574.000000
827,165351.000000
500,64134.000000
5651,7913719.000000
7286,13274891.000000
5502,7628020.000000
5411,7297548.000000
7146,12535282.000000
5043,6375965.000000
3255,2630218.000000
446,49589.000000
9489,22475571.000000
1601,639034.000000
3313,2766267.000000
9361,21949519.000000
7858,15364713.000000
9092,20971220.000000
2703,1818492.000000
5868,8576210.000000
416,46661.000000
2641,1738085.000000
3433,2928868.000000
4213,4464117.000000
4249,4564503.000000
5959,8834469.000000
2281,1270834.000000
9043,20331111.000000
851,182794.000000
2429,1501642.000000
6627,11018524.000000
7617,14467630.000000
428,46705.000000
7540,14387062.000000
4984,6173396.000000
9526,22802784.000000
828,164782.000000
1152,340816.000000
872,189667.000000
2080,1096608.000000
660,106742.000000
8936,19816012.000000
1493,545268.000000
9285,21610805.000000
98,2107.000000
2372,1420466.000000
1578,608526.000000
6698,11270894.000000
2918,2142369.000000
841,174450.000000
3292,2758062.000000
4636,5419066.000000
9901,24351605.000000
2493,1585977.000000
9701,23610414.000000
1630,661493.000000
5362,7194593.000000
9489,22564159.000000
6579,10882550.000000
139,4351.000000
5402,7348999.000000
6217,9532374.000000
567,84038.000000
9070,20617680.000000
