n,Looped
66,66.000000
87,25.000000
33,33.000000
24,24.000000
41,7.000000
58,42.000000
80,80.000000
77,77.000000
12,12.000000
37,22.000000
52,52.000000
29,29.000000
57,3.000000
98,48.000000
72,72.000000
83,83.000000
76,76.000000
41,41.000000
8,8.000000
50,34.000000
55,55.000000
21,21.000000
91,91.000000
44,44.000000
81,81.000000
72,15.000000
34,34.000000
42,22.000000
10,10.000000
97,97.000000
87,4.000000
67,67.000000
14,14.000000
45,45.000000
59,59.000000
96,96.000000
97,64.000000
3,3.000000
51,13.000000
36,36.000000
80,5.000000
94,94.000000
84,10.000000
15,13.000000
47,28.000000
70,58.000000
48,48.000000
38,38.000000
83,29.000000
11,11.000000
72,72.000000
11,11.000000
18,18.000000
61,61.000000
87,11.000000
90,90.000000
94,94.000000
38,38.000000
49,29.000000
22,22.000000
16,16.000000
23,23.000000
100,10.000000
98,16.000000
4,4.000000
15,15.000000
81,4.000000
37,37.000000
83,83.000000
22,22.000000
21,21.000000
56,42.000000
21,21.000000
18,18.000000
40,9.000000
55,55.000000
31,31.000000
96,19.000000
28,28.000000
18,18.000000
18,18.000000
53,53.000000
66,51.000000
74,74.000000
62,62.000000
4,4.000000
80,80.000000
70,70.000000
64,42.000000
74,74.000000
80,80.000000
58,58.000000
82,82.000000
39,39.000000
1,1.000000
39,39.000000
87,44.000000
69,59.000000
95,95.000000
88,58.000000
