n,looped
15,4
39,6
12,4
40,5
41,5
47,6
35,5
46,6
47,5
64,6
48,6
46,5
17,5
59,6
59,6
53,5
50,5
23,5
17,4
6,4
39,5
12,3
20,5
61,6
8,4
3,2
9,4
28,5
20,4
58,6
41,5
16,5
61,6
55,3
11,4
49,6
21,4
31,5
59,6
39,6
22,4
54,6
53,5
1,2
15,4
24,5
56,6
11,4
54,6
56,6
3,3
50,6
8,4
52,6
53,6
21,5
23,5
36,6
26,5
58,6
48,6
17,4
40,5
44,5
30,5
53,5
49,6
55,5
49,6
64,6
30,1
51,6
54,6
6,4
48,6
29,5
34,5
15,4
65,6
12,4
60,6
4,3
27,5
60,6
53,6
32,5
53,6
57,6
43,6
51,5
50,5
52,5
20,4
63,7
36,5
24,5
33,5
48,5
37,2
52,6
